0	1	2	answer
启明学院的优秀学生会得到怎样的资源	启明学院学习特优生是什么	6	有。项目研究时间过半，项目负责人应组织项目组成员填写《启明学院大学生自主创新项目中期检查表》，向启明学院提交相关材料，中期检查可采用项目组集中汇报或召开座谈交流会等形式进行。对逾期不参加中期检查的项目，启明学院可终止其项目
启明学院学习特优生是什么	启明学院学习特优生是什么	6	主要用于项目的调研差旅费、实验费、材料费、资料费、论文版面费、评审鉴定费等支出，不得用于招待费、购置生活用品等与研究内容无关的开支。
希望了解一下启明学院接待制度	启明学院接待制度如何	7	旨在强化启明学院实验班、创新团队和特优生创新思维养成，增强创新能力和创业能力，提高学生的综合素质，培养适应国家发展战略和社会需求的高素质人才。
启明学院接待制度如何	启明学院接待制度如何	7	学院将收回其剩余项目经费集中统筹使用。收回的项目经费应专款专用，仍用于支持大学生科技创新活动。
启明学院是如何培养人才的	启明学院的人才培养特色是什么	8	12层
希望了解启明学院的人才培养特色	启明学院的人才培养特色是什么	8	亮胜楼
启明学院的培养制度有何不同	启明学院的人才培养特色是什么	8	Dian团队全称是“基于导师制的本科人才孵化站”，由刘玉教授于2002年3月创建，植根于华中科技大学电信系，旨在通过真实项目实践培养学生的创新能力、实践精神和综合素质
启明学院的人才培养特色是什么	启明学院的人才培养特色是什么	8	联创团队（Unique Studio）创建于2000年6月。团队秉承不断创新和锐意进取的核心精神，旨在建立一个精英学生的创新和创业平台。团队立足信息技术，积极跟踪技术发展的最前沿，通过承担科研项目、参加科技大赛等形式，激发队员的无限激情和潜能，并积极整合历届队员的资源，共同创造团队和个人的未来。作为一个以兴趣为主导，强调主动实践和自主创新，由学生自发组织、自主运行、自我管理的学生团队，团队已经取得了优异的成绩，成为华中科技大学大学生主动实践的成功典范之一。
创新团队的介绍	启明学院创新团队是什么	9	冰岩作坊是华中科技大学优秀的互联网开发团队。团队成立于1999年，以华中大在线为平台，开发了多彩活动、云U盘、华中大微访谈、校园问答平台iKnow、二手市场、、掌上华中大、华中大校园通等一系列优秀的校园互联网产品。这些产品不仅受到校内师生的一致好评，也引起了校外用户和媒体的广泛关注。
启明学院创新团队有哪些	启明学院创新团队是什么	9	数学建模科技创新基地的前身是1998年成立的“华中理工大学数学建模爱好者协会”。基地面向全校本科学生，以“怀仁博学，精彩建模”为宗旨，以“提高大学生数学建模水平、增强团队协作精神、参加数模大赛、培养自主学习能力、提高科研水平”为目标。通过培训、竞赛和科研，为本科生创造一个“跨学科、创新型、研究型”学习和交流平台，将基地成员培养成数学基础扎实、计算机水平高、考研写作能力强，能够自主发现问题、提出问题、分析问题和解决问题的高素质人才。
启明学院创新团队是什么	启明学院创新团队是什么	9	没有
启明学院特别课程目标是什么	启明学院有哪些特别课程	10	1.启明学院师生赴丹江口与山区儿童共度六一儿童节2.启明学院赴何砦小学慰问留守儿童暨迎新年联欢活动成功开展3.新年送新衣活动等
启明学院开设了哪些创新课程	启明学院有哪些特别课程	10	"为培养拔尖创新人才，探索创新人才培养新模式，为我国高等教育改革发挥示范作用，华中科技大学与业界共同创办""华中科技大学启明学院""。启明学院秉承""明德，厚学，求是，创新""的校训，遵循""育人为本、创新是魂、责任以行""的办学理念，把创新精神和实践能力作为培养拔尖创新人才的核心，致力于培养具有创新能力、创业精神和国际视野的未来杰出人才。"
启明学院有哪些特别课程	启明学院有哪些特别课程	10	"​一、卓越工程师人才培养模式培养未来工程领军人才
二、卓越医生人才培养计划培养未来医学杰出人才
三、基础学科人才培养模式培养未来科技领军人才
四、人文社会学科拔尖创新人才培养模式培养具有国际视野的未来杰出人才
五、交叉学科人才培养模式培养交叉学科创新人才
六、基于项目学习的人才培养模式培养未来信息工程专家
七、基于团队学习的人才培养模式培养具有团队合作精神和项目实践能力的人才
八、基于个性的人才培养模式培养具有自主管理能力和发展潜能的优秀人才
"
启明学院有创客实验平台吗	启明学院创客实验平台是什么	11	"学术机构：教学委员会、学习委员会
行政机构：创新创业管理部、综合办公室、新闻与交流中心、技术支持部
学生组织：创新团队联盟委员会、实验班联合会、特优生联合会、信息中心
校企联合：校企合作委员会、常驻企业单位"
启明学院创客实验平台是什么	启明学院创客实验平台是什么	11	启明学院为学生研究型学习提供特别课程支持，建设方法类、交叉学科类、通识类、综合类等创新教育理论与实践系列化特别课程，将学生宏思维的培养与专业教育相结合，开拓学生视野，培养学生的宏观思维和创新思维。
想了解一下启明学院创新论坛	启明学院创新论坛是什么	12	刘玉老师
启明学院创新论坛是什么	启明学院创新论坛是什么	12	刘玉：教授，硕士导师，Dian团队创始人和负责人（CEO）；钟国辉：电信系讲师，Dian团队CTO，系统分析员；刘合群：北京天文馆研究员，Dian团队医学导师；黄晓庆：中国移动研究院院长，“千人计划”国家特聘专家，Dian团队企业导师；刘勃：副教授，硕士导师；
启明学院的来由	启明学院是何时成立的	13	启明学院的点团队目前已完成了一百三十六个项目。
启明学院的原名是什么	启明学院是何时成立的	13	Dian团队的定位是“基于导师制的人才孵化站”。
启明学院是何时成立的	启明学院是何时成立的	13	一年。
什么是启明之星	"启明之星""的评选宗旨是什么"	14	创业武汉•华科启明之星EIR特训营是由武汉市创业天使导师团、华中科技大学启明学院、共青团华中科技大学委员会、华中科技大学研工部、华中科技大学科技成果转化办公室、华中科技大学校友工作及对外联络办公室主办，华中科技大学国家大学科技园联合主办，联想之星•星云加速器、联想之星•星空人工智能加速器、星云新产业承办，联想之星、蓝驰创投、百度风投、深创投、达晨创投等知名投资机构共同举办。
"启明之星""的评选目标是什么"	"启明之星""的评选宗旨是什么"	14	"创新实验班有：药学创新实验班、产品设计创新实验班、自动化理工交叉创新实验班、管理学创新实验班、基础学科物理学实验班、信息类数理提高班经济学创新实验班、""王大珩""光电创新实验班、基础学科生物学与技术实验班；卓越工程师计划实验班有：集成电路卓越计划实验班、生医卓越计划实验班、电信卓越计划实验班、计算机卓越计划实验班、土木卓越计划实验班、光电卓越计划实验班、电气卓越计划实验班、能源卓越计划实验班、材料卓越计划实验班、机械卓越计划实验班；其他：基于项目的信息类专业教育实验班（种子班​）、临床医学专业中德实验班、产品设计创新实验班"
"启明之星""的评选宗旨是什么"	"启明之星""的评选宗旨是什么"	14	"武汉海峡两岸科技产业园代表来校考察
启明学院赴珠三角地区企业调研
德迅投资有限公司向我校捐赠100万元
机械创新基地与伊顿公司签约成立科创基金
启明学院举办“Windows 8 高校训练营”活动
启明学院一行参观丝宝集团 洽谈加强校企合作"
“启明之星”评选项目有哪些	“启明之星”评选有哪些类别	15	周伟，乐行天下创始人，机械创新基地， 2014年完成1亿人民币B轮融资；付小龙，恋爱记创始人，冰岩作坊，2014年完成1000万人民币A轮融资；汪奕菲，PPTV联合创始人，极豆车联创始人，冰岩作坊，2013年获得4.2亿美金融资，2016年完成5300万人民币A轮融资；汪海兵，淘米科技创始人，冰岩作坊，2011年在美国纽交所上市；宫海涛，大族锐视联合创始人，电工电子科技创新中心，2015年完成3000万人民币天使轮融资等。
“启明之星”评选有哪些类别	“启明之星”评选有哪些类别	15	1、课程学习：美国斯坦福大学暑期/冬季双创课程学习、美国加州大学伯克利分校暑期/冬季双创课程学习、美国哈佛大学暑期双创课程学习、英国曼彻斯特大学暑期课程学习等；2、实习项目：密苏里科技大学EMC实验室暑期实习项目、休斯敦大学ECE系暑期实习项目等；3、夏令营：罗斯豪曼科技夏令营等；4、其他：台湾大同大学暑期研习营等。
什么时候可以评启明之星	“启明之星”评选时间是什么时候	16	启明学院有电工电子实验平台、机械加工实验平台。
“启明之星”评选时间是于每年9-10月进行吗	“启明之星”评选时间是什么时候	16	预约接待系统、研究性学习与项目实践系统、师生交流系统、教室管理系统等。
“启明之星”评选时间是什么时候	“启明之星”评选时间是什么时候	16	"历任领导院长： 
2016.1~2017.10 邵新宇 教授（常务副校长）
2015.7~2015.12 段献忠 教授（常务副校长）
2013.11~2014.12 罗 俊 院士（常务副校长）
2009.2~2013.9 林萍华 教授（常务副校长）
2008.8~2009.2 王   乘 教授（常务副校长）
常务副院长：    
2011.2~2016.12 熊   蕊 教授（教务处常务副处长）
2008.8~2011.2 马建辉 （教务处常务副处长）
副院长：    
2008.8~2017.5 刘   玉 教授（兼）
2008.12~2011.9 甘世斌"
启明学院大学生自主创新项目审查项目的内容	启明学院大学生自主创新项目审查项目的内容	17	Dian团队“每月一善”活动、启明学院师生赴丹江口与山区儿童共度六一儿童节等。
启明学院大学生自主创新项目审查项目的内容	启明学院大学生自主创新项目审查项目的内容	17	李培根、骆清铭、吴昌林、熊蕊、付玲、李箭、叶贤基。
启明学院大学生自主创新项目中，特优生项目的主管部门是谁	启明学院大学生自主创新项目中，特优生项目由哪个部门管理	18	"可通过四种方式联系我们： 学院电话、学院信箱、电子邮件和启明学院接待日联系我们。
联系电话：027-87558300（南三楼综合办公室） 87793421 （亮胜楼创新创业办公室） 传真：027-87793423

通讯地址：湖北省武汉市洪山区珞瑜路1037号 华中科技大学南三楼319/亮胜楼 202 邮编：430074

学院邮箱：qiming@mail.hust.edu.cn

接待日：也可以通过接待日到办公室现场咨询访谈。启明学院每周周日上午设立了接待日，常年由启明学院领导和相关工作人员接待来访师生和家长。接待日的时间一般为每周日上午8:30-11:30，接待地点在东校区亮胜楼202室。值班电话为027-87793421。"
启明学院大学生自主创新项目中，特优生项目由哪个部门管理	启明学院大学生自主创新项目中，特优生项目由哪个部门管理	18	学院在科技创新项目，微软“创新杯”，美国大学生数学建模大赛等方面都有建树。详见http://qiming.hust.edu.cn/cxcg.htm
启明学院大学生自主创新项目中，创新团队项目的主管部门是谁	启明学院大学生自主创新项目中，创新团队项目由哪个部门管理	19	"特优生联合会是特优生自我管理、相互交流的非官方学生组织。其宗旨是增进不同学科专业特优生之间的交流，加强特优生之间的科研合作与学科交叉。通过举办系列学术、创新文化活动，营造浓厚的学习氛围和创新环境，为特优生的成长提供交流的平台。
特优生联合会负责特优生各类活动的策划、实施、通知、宣传等工作，营造浓厚的学习、创新氛围；组织、协调各院系特优生间的工作，加强特优生间学术交流；负责促进跨学科项目团队间合作。"
启明学院大学生自主创新项目中，创新团队项目由哪个部门管理	启明学院大学生自主创新项目中，创新团队项目由哪个部门管理	19	创新团队联盟委员会，实验班联合会，特优生联合会，信息中心等
希望了解一下大学生自主创新项目中期答辩	大学生自主创新项目有中期答辩吗	20	教学委员会和学习委员会
大学生自主创新项目有中期答辩吗	大学生自主创新项目有中期答辩吗	20	校企合作委员会通过学院与企业界的深入合作，培养和挖掘学生主动实践能力和科技创新能力，推进学生科技创新成果或创意转化为现实生产力，为企业的技术进步、产业升级和人才培养提供智力支持。有丝宝集团等企业。
大学生自主创新项目经费可以用于购置生活用品吗	大学生自主创新项目经费可以用于哪些方面？	21	为实践科学发展观，推动创新教育改革，落实启明学院人才培养模式创新实验区改革计划，培养拔尖创新人才。学校定期举办创新教育论坛。
大学生自主创新项目经费可以用于哪些方面？	大学生自主创新项目经费可以用于哪些方面？	21	http://qiming.hust.edu.cn/index.htm
启明学院大学生自主创新项目的价值	启明学院大学生自主创新项目的意义	22	"药学创新实验班 产品设计创新实验班 自动化理工交叉创新实验班 管理学创新实验班 基础学科物理学实验班 信息类数理提高班 经济学创新实验班 ""王大珩""光电创新实验班 基础学科生物学与技术实验班"
启明学院大学生自主创新项目的意义	启明学院大学生自主创新项目的意义	22	集成电路卓越计划实验班 生医卓越计划实验班 电信卓越计划实验班 计算机卓越计划实验班 土木卓越计划实验班 光电卓越计划实验班 电气卓越计划实验班 能源卓越计划实验班 材料卓越计划实验班 机械卓越计划实验班
大创项目逾期未能正常结题验收的项目，怎么办	大创项目逾期未能正常结题验收的项目，如何处理	23	创新创业管理部 综合办公室 新闻与交流中心 技术支持部
大创项目逾期未能正常结题验收的项目，如何处理	大创项目逾期未能正常结题验收的项目，如何处理	23	创新团队联盟委员会 实验班联合会 特优生联合会 信息中心
启明学院有多高	启明学院有多少层楼	24	"2011专利：新型车载测距仪
2011专利：抽吸式取泥器
2011专利：一种智能安防手表
2011专利：一种新型探测车防沙陷结构
2011专利申请：一种基于增强现实技术的交互式实验...
2011专利申请：基于增强现实技术的交互式虚拟教学...
2011专利申请：一种智能化信报箱
2011专利申请：一种智能化市电控制器
2011专利申请：一种智能奶箱
2011专利申请：一种基于Zigbee的无线答题系统"
启明学院有13楼吗	启明学院有多少层楼	24	"2012专利：智能厕所门装置
2012专利：一种航标灯电源
2012专利：一种波浪发电装置
2012专利：新型洗衣粉包装袋
2012专利：无刷直流泥浆涡轮发电机
2012专利：微波加热干衣机
2012专利：水管自动控制装置
2012专利：急慢刹车灯光警示装置
2012专利：基于直线发电机的波浪发电装置
2012专利：基于单片机的脱水自动控制系统2011专利：新型车载测距仪"
启明学院有多少层楼	启明学院有多少层楼	24	"第六期特优生沙龙——青春电影文学大家谈
第五期特优生沙龙——“启明大本营，快乐特优生”圆满落幕
第四期特优生沙龙活动圆满落幕——走近同济
第三期特优生沙龙成功举办——分享保研路上的心路历程
第二期特优生沙龙学生畅聊创业
第一期特优生沙龙活动成功举办"
启明学院在双子楼的哪里	启明学院在双子楼的哪一栋？	25	关于2018年本科特优生导师配备及制定个性化培养方案工作的通知:http://qiming.hust.edu.cn/info/1114/4193.htm
启明学院在双子楼的哪个方位？	启明学院在双子楼的哪一栋？	25	"
微软“创新杯”全球学生大赛（Imagecup）美国大学生数学建模竞赛CCTV机器人大赛ACM国际大学生程序设计竞赛红点设计大赛IF Design Award iF设计大赛德国博朗工业设计大赛“挑战杯”全国大学生课外学术科技作品竞赛“挑战杯”全国大学生创业计划竞赛全国大学生机械创新设计大赛全国大学生电子设计竞赛全国大学生数学建模竞赛全国大学生节能减排社会实践与科技竞赛全国大学生英语竞赛全国大学生水利创新设计大赛中国大学生广告艺术大赛全国计算机仿真大赛全国大学生物理实验竞赛FIRA机器人足球比赛中国模拟联合国大会中国大学生公共关系策划大赛外研社杯全国英语辩论赛全国虚拟仪器设计大赛全国大学生“飞思卡尔”杯智能汽车竞赛美新杯中国MEMS 传感器应用大赛中国机器人大赛暨robocup公开赛ADI中国大学创新设计竞赛21世纪杯全国大学生英语演讲比赛外研社杯（前CCTV杯））全国大学生英语演讲比赛国际大学生物联网创新创业大赛中国大学生物理学术竞赛中南地区机械创新设计大赛湖北省大学生英语演讲比赛湖北省大学生物理实验创新设计竞赛湖北省大学生化学（化工）学术创新成果报告会湖北省普通高校大学生化学实验技能竞赛瑞萨超级MCU模型车大赛欧莱雅工业策划大赛腾讯“校园之星”互联网开发大赛“镇海杯”国际工业设计大赛恩智浦杯创新设计大赛“三井化学杯”大学生化工设计竞赛中国独立游戏节理大国际学生创新挑战赛OpenHW开源硬件与嵌入式大赛"
启明学院在双子楼的哪一栋？	启明学院在双子楼的哪一栋？	25	"
美信DIY大赛第七届全国大学生“飞思卡尔杯”智能汽车竞赛摄像...第七届“飞思卡尔”杯全国大学生智能汽车竞赛光电组全国大学生飞思卡尔杯智能汽车竞赛磁导航平衡组第五届全国大学生节能减排社会实践与科技竞赛“Think Ahead”博世创新挑战赛基于模拟传感器的高速智能循线竞速车模LED、LD物性测试系统基于LabVIEW的车牌识别系统iMove手控无线游戏系统镇海炼化400kt/a醚后碳四制异丁烯项目“情燃创客，梦载江城”《创客》电影整合营销创意...Yeast Artificial Organelle 酵母人工细胞器召唤师艾莉娅 Aria the Summoner水音符OBM活氧呼吸面罩2012年亚太机器人大赛国内选拔赛暨CCTV机器人大赛2012年嵌入式系统专题邀请赛（英特尔杯）-大学生电...智能孵化系统--大学生电子设计竞赛电脑鼠走迷宫模拟电子系统设计专题邀请赛（TI杯）2012ACM-ICPC全国大学生程序设计竞赛论文《The Genetic algorithms in optimization of...论文《石墨烯在Ni(111)表面生长机理的紧束缚计算研...论文《SiC衬底上石墨烯的性质、改性及应用研究》论文《衬底上石墨烯制备及改性研究进展》论文《官能团修饰对MOF-5的气体分子吸附影响》论文《纳米团簇与石墨烯复合结构储锂性能的第一性...论文《形变碳纳米管选择通过性的分子动力学研究》论文《Mutation c.359_363delGTATTinsATAC in the ...论文《Research on finding the ball quickly and ...论文《Polymer-inorganic hybrid microparticles w...论文《Fiber-Based All-Solid-State Flexible Supe...论文《基于真实项目的实践教学体系探索》论文《污泥深度脱水处理与处置工艺的COD及碳减排分...论文《屋顶绿化二氧化碳减排效益的研究》论文《Carrousel氧化沟低污泥浓度运行模式处理餐饮...论文《First-principles study on the synergistic...论文《External Electric Field Induced Oxygen-Dr...论文《Lithium-Decorated Oxidized Porous Graphen...碳足迹系统智能能源管理系统Energy Station基于自由摆的平板控制系统简易数字信号传输性能分析仪论文《智能辅助型电动轮椅系统设计》论文《Effect of Compensated Codoping on the Pho...论文《边缘修饰的石墨烯纳米带电子特性的第一性原...论文《智能便携式农药残留速测系统的研制》论文《用于直流电机驱动的控制算法设计》"
Dian团队是什么	介绍一下启明学院的Dian团队	26	详情见:http://qiming.hust.edu.cn/info/1114/4052.htm
什么是Dian团队	介绍一下启明学院的Dian团队	26	详情见:http://qiming.hust.edu.cn/info/1114/4032.htm
介绍一下启明学院的Dian团队	介绍一下启明学院的Dian团队	26	430074
联创团队是什么	介绍一下启明学院的联创团队	27	027-8755830和027-87793421
什么是联创团队	介绍一下启明学院的联创团队	27	027-87793423
介绍一下启明学院的联创团队	介绍一下启明学院的联创团队	27	qiming@hust.edu.cn
冰岩作坊是什么	介绍一下启明学院的冰岩作坊	28	http://qiming.hust.edu.cn/rrqm/qmxyyk1.htm
什么是冰岩作坊	介绍一下启明学院的冰岩作坊	28	"一、课程代码：1413881
二、学时/学分：32/2
三、开课单位：华工科技企业孵化器
四、课程性质与教学目标
本课程根据《普通本科学校创业教育教育教学基本要求（试行）》文件的要求，按照“创业基础”教学大纲，结合我校创业教育课程开设的经验，秉承以学生为中心的教育的核心思想，围绕普及创业知识、培养创业精神、锻炼创业能力、营造创业氛围、重视创业实践的目标开展教学及实践活动。
本课程在华中科技大学教务处的指导和支持下，由华中科技大学科技企业孵化器负责试点开设，旨在通过校企结合、注重实践、持续培养、社会接轨的模式，突出课程的普及型、互动性、有效性和持续性。
本课程为32学时，2个学分，教学目标如下：
1、使学生掌握开展创业活动所需要的基本知识。认知创业的基本内涵和创业活动的特殊性，辨证地认识和分析创业者、创业机会、创业资源、创业计划和创业项目。
2、使学生具备必要的创业能力。掌握创业资源整合与创业计划撰写的方法,熟悉新企业的开办流程与管理，提高创办和管理企业的综合素质和能力。
3、使学生树立科学的创业观。主动适应国家经济社会发展和人的全面发展需求，正确理解创业与职业生涯发展的关系，自觉遵循创业规律，积极投身创业实践。
五、课程要求和教学方法
本课程是一门理论性、政策性、科学性和实践性很强的课程。本课程通过总结我校多年创业课程教学以及创业辅导上的经验，坚持理论讲授与案例分析相结合、小组讨论与角色体验相结合、经验传授与创业实践相结合，把知识传授、思想碰撞和实践体验有机统一起来，调动学生学习的积极性、主动性和创造性，不断提高教学质量和水平。
六、主讲教师与配套教材
主讲教师一：李娟、方伟
配套教材：
由华中科技大学企业孵化器自主编写并由华中科技大学出版社出版的《科技创业》书籍。"
介绍一下启明学院的冰岩作坊	介绍一下启明学院的冰岩作坊	28	"主任委员：吴昌林
执行主任委员：熊 蕊
副主任委员：叶贤基 吴 波 杨晓非 余龙江 郑俊杰
委员（按姓氏笔画为序）：
王燕舞 吕家高 刘海云 刘 斌 刘泽华 张克中 唐跃进
秦磊华 舒水明 程文青 程邦雄 樊自田 熊克兰（业界代表）"
数学建模创新基地是什么	介绍一下数学建模科技创新基地	29	"主任委员：姜智滨
副主任委员：桂凯 黄俐杰 赵帅 何子同
委员（按姓氏笔画排名）：
方金霞 李振 李浩天 江子文 阮翔宇 杜诚博 杨旭 余扬 吴松燐 林龙 袁升 袁子琪 游浩然 路淑贞 蔡一凡 潘昭鸣"
什么是数学建模创新基地	介绍一下数学建模科技创新基地	29	台湾大同大学
介绍一下数学建模科技创新基地	介绍一下数学建模科技创新基地	29	《社会设计与创新实践》的暑期设计实务营
启明学院周末是否安排课程？	启明学院周末有安排课程吗？	30	十次
启明学院周末有安排课程吗？	启明学院周末有安排课程吗？	30	中国工程院院士、原华中科技大学校长李培根、大疆创新董事长、香港科技大学教授李泽湘等人出席了论坛。
启明学院有公益活动吗？	启明学院有哪些公益活动？	31	为实践科学发展观，推动创新教育改革，落实启明学院人才培养模式创新实验区改革计划，培养拔尖创新人才。学校定期举办创新教育论坛。
启明学院有哪些公益活动？	启明学院有哪些公益活动？	31	创新项目，学科竞赛，发明专利，学术成果，创业成果
设立启明学院的目的？	为什么设立启明学院？	32	微软创新杯多次进入全球总决赛。全国大学生电子竞赛，智能车竞赛等等比赛中均取得过好成绩。
为什么设立启明学院？	为什么设立启明学院？	32	基于项目的信息类专业教育实验班（简称种子班）创办于2006年，目前已招生8届，每届1个自然班20～30人，独立建班。在信息大类各专业二年级学生中进行选拔，择优录取思想品德好、学习态度端正、成绩优良、热爱动手实践、具有较强自主学习能力的学生进入该实验班，实行淘汰机制。
启明学院特殊的培养模式	启明学院有哪些培养模式？	33	"1.启明学院学生，包括在校各类实验班学生、创新团队学生、特优生；

2.具有高尚的爱国主义情操和集体主义精神，社会主义信念坚定，社会责任感强，遵纪守法，积极向上；

3.勤奋学习，刻苦钻研，成绩优良，有较强的创新意识、创新能力；

4.学风端正，诚实守信，无任何考试作弊和剽窃他人学术成果记录；

5.品行表现优良，无任何违法违纪处分记录；

6.取得突出成果、做出重要贡献。"
想了解一下启明学院培养模式	启明学院有哪些培养模式？	33	"1.""启明之星""荣誉奖章和证书；

2.在达到我校遴选推免生基本条件的前提下，可获得推荐免试攻读我校硕士学位的资格。

3.获得启明之星奖学金。"
